CEP,Logradouro,Complemento,Bairro,Localidade,UF,IBGE,GIA,DDD,SIAFI
88115135,Rua José Roberto da Silva Andreani,,Serraria,São José,SC,4216602,50304,,
88115140,Rua Felisbino Camilo da Silva,até 1635/1636,Serraria,São José,SC,4216602,50304,,
88115142,Rua Henrique Manoel do Nascimento,,Serraria,São José,SC,4216602,50304,,
88115150,Rua Dona Carola,,Serraria,São José,SC,4216602,50304,,
88115153,Rua João Bento dos Santos,,Serraria,São José,SC,4216602,50304,,
88115155,Rua São Fernando,,Serraria,São José,SC,4216602,50304,,
88115158,Rua Manoel Albano do Amaral,,Serraria,São José,SC,4216602,50304,,
88115160,Rua São Benedito,,Serraria,São José,SC,4216602,50304,,
88115163,Rua Maria Oliveira,,Serraria,São José,SC,4216602,50304,,
88115165,Rua Natalino Nascimento,,Serraria,São José,SC,4216602,50304,,
88115170,Rua Vergilino Domingos da Silva,,Serraria,São José,SC,4216602,50304,,
88115171,Rua Otto Steiner Sobrinho,,Serraria,São José,SC,4216602,50304,,
88115172,Rua Augusta Rodrigues Pulceno,,Serraria,São José,SC,4216602,50304,,
88115173,Rua 1º de Setembro,,Serraria,São José,SC,4216602,50304,,
88115174,Rua Antônio Francisco Steiner,,Serraria,São José,SC,4216602,50304,,
88115175,Rua Manoel Domingos do Nascimento,,Serraria,São José,SC,4216602,50304,,
88115180,Rua Manoel Marques Júnior,,Serraria,São José,SC,4216602,50304,,
88115190,Rua Aduci Arbueis do Nascimento,,Serraria,São José,SC,4216602,50304,,
88115200,Rua Wenceslau Evaristo Silva,,Serraria,São José,SC,4216602,50304,,
88115210,Rua César Zuchinalli,,Serraria,São José,SC,4216602,50304,,
88115211,Servidão Tomaz João do Amaral,,Serraria,São José,SC,4216602,50304,,
88115218,Rua Adélia Schröeder Pontes,,Serraria,São José,SC,4216602,50304,,
88115220,Rua Edmundo Otacílio,,Serraria,São José,SC,4216602,50304,,
88115223,Rua Izoel Ribeiro,,Serraria,São José,SC,4216602,50304,,
88115225,Rua João Affonso Firmino,,Serraria,São José,SC,4216602,50304,,
88115230,Rua Vitória,,Serraria,São José,SC,4216602,50304,,
88115233,Rua Aureliano Pires da Silva,,Serraria,São José,SC,4216602,50304,,
88115235,Travessa Nelson Miguel da Silva,,Serraria,São José,SC,4216602,50304,,
88115237,Travessa Francisco João de Souza,,Serraria,São José,SC,4216602,50304,,
88115239,Travessa José Graciliano da Silva,,Serraria,São José,SC,4216602,50304,,
88115240,Travessa Cláudio Hoffmann,,Serraria,São José,SC,4216602,50304,,
88115250,Rua Vereador Pedro Medeiros,,Serraria,São José,SC,4216602,50304,,
88115251,Rua Alda Ribas da Luz,,Serraria,São José,SC,4216602,50304,,
88115252,Rua Francisco Juvêncio Batista,,Serraria,São José,SC,4216602,50304,,
88115253,Rua José Zeferino Cardoso,,Serraria,São José,SC,4216602,50304,,
88115255,Rua Gervásio José de Souza,,Serraria,São José,SC,4216602,50304,,
88115260,Rua Manaus,,Serraria,São José,SC,4216602,50304,,
88115265,Rua Aurelino Manoel da Silva,,Serraria,São José,SC,4216602,50304,,
88115270,Rua Belo Horizonte,,Serraria,São José,SC,4216602,50304,,
88115273,Rua Reynoldo Antônio Baldissera,,Serraria,São José,SC,4216602,50304,,
88115274,Rua Antônio Roggia,,Serraria,São José,SC,4216602,50304,,
88115275,Rua Josefina Borsatto,,Serraria,São José,SC,4216602,50304,,
88115276,Rua Antônio João Vitor,,Serraria,São José,SC,4216602,50304,,
88115277,Rua Maria Degrandis,,Serraria,São José,SC,4216602,50304,,
88115278,Rua José da Silva Leite,,Serraria,São José,SC,4216602,50304,,
88115279,Servidão Francisco Umbelino,,Serraria,São José,SC,4216602,50304,,
88115280,Rua dos Operários,,Serraria,São José,SC,4216602,50304,,
88115285,Servidão Inês Paulina do Amaral,,Serraria,São José,SC,4216602,50304,,
88115350,Rua Léo Augusto da Silva,,Serraria,São José,SC,4216602,50304,,
88115355,Travessa Hercílio José Corrêa,,Serraria,São José,SC,4216602,50304,,
88115360,Rua Itália,,Serraria,São José,SC,4216602,50304,,
88115368,Rua Célio de Oliveira,,Serraria,São José,SC,4216602,50304,,
88115369,Rua Leopoldo Shappo,,Serraria,São José,SC,4216602,50304,,
88115370,Rua Dona Lídia,,Serraria,São José,SC,4216602,50304,,
88115371,Rua Nelson Ferreira,,Serraria,São José,SC,4216602,50304,,
88115372,Rua Sanitária Mendes,,Serraria,São José,SC,4216602,50304,,
88115373,Rua João Vicente Medeiros,,Serraria,São José,SC,4216602,50304,,
88115374,Rua Herondina da Silva Medeiros,,Serraria,São José,SC,4216602,50304,,
88115375,Rua Antônio Gabriel de Souza,,Serraria,São José,SC,4216602,50304,,
88115376,Rua Rosa Maria Martins,,Serraria,São José,SC,4216602,50304,,
88115377,Rua Juvenal Pessoa da Silva,,Serraria,São José,SC,4216602,50304,,
88115378,Rua Raul Michelon da Silva,,Serraria,São José,SC,4216602,50304,,
88115379,Rua Veríssimo Rodrigues Fortuna,,Serraria,São José,SC,4216602,50304,,
88115380,Travessa Manoel Mendes,,Serraria,São José,SC,4216602,50304,,
88115390,Rua Accácio Pinto da Luz,,Serraria,São José,SC,4216602,50304,,
88115400,Rua Nossa Senhora dos Navegantes,,Serraria,São José,SC,4216602,50304,,
